Index,Text,Types,Tokens,Sentences,Article,Date,Category,Sentiment,anger,trust,disgust,joy,fear,sadness,anticipation
1,100 days since the Paris Climate Agreement  5 Reasons that Cities Hold the Key to Delivering Success_2016-03-21_News.txt,565,1312,51,100 days since the Paris Climate Agreement  5 Reasons that Cities Hold the Key to Delivering Success,16881,News,65,4,37,1,17,8,3,24
2,12 Cost-Effective Ways to Increase Traffic to Your Company Website_2016-03-21_News.txt,415,866,65,12 Cost-Effective Ways to Increase Traffic to Your Company Website,16881,News,42,2,24,1,13,3,3,21
3,4 Digital Marketing Trends You Cant Afford to Ignore_2016-03-21_Business.txt,369,674,39,4 Digital Marketing Trends You Cant Afford to Ignore,16881,Business,50,2,15,2,13,2,2,19
4,4 Tips to Help You Write With Clarity and Substance_2016-03-21_Business.txt,496,974,76,4 Tips to Help You Write With Clarity and Substance,16881,Business,43,9,26,4,11,7,10,14
5,7 Things To Know About Buying The Right Olive Oil_2016-03-21_News.txt,474,1018,77,7 Things To Know About Buying The Right Olive Oil,16881,News,67,8,25,10,25,8,8,20
6,7 tips for raising startup capital from a founder whos been doing it for 18 years_2016-03-21_Business.txt,695,1698,117,7 tips for raising startup capital from a founder whos been doing it for 18 years,16881,Business,51,14,43,13,22,15,13,28
7,Ask Not What Your Podcast Can Do for You_2016-02-25_Business.txt,1374,7081,492,Ask Not What Your Podcast Can Do for You,16856,Business,94,27,78,17,48,41,41,64
8,Clayton Williams convicted of PC Dave Phillipss manslaughter - BBC News_2016-03-21_News.txt,372,868,51,Clayton Williams convicted of PC Dave Phillipss manslaughter - BBC News,16881,News,-43,20,24,8,10,26,23,10
9,Content Marketers Need to Act Like Publishers_2016-03-21_Business.txt,488,1128,77,Content Marketers Need to Act Like Publishers,16881,Business,57,3,30,3,18,9,4,22
10,Documentary exposes horror of life in Saudi Arabia_2016-03-21_News.txt,730,1863,91,Documentary exposes horror of life in Saudi Arabia,16881,News,-111,53,35,30,14,53,41,23
11,Donald Trumps tactics are disturbingly similar to those of actual dictators_2016-03-21_News.txt,940,2373,115,Donald Trumps tactics are disturbingly similar to those of actual dictators,16881,News,-85,61,62,33,17,64,40,28
12,Equal pay a myth and a minefield_2016-03-21_News.txt,500,1234,66,Equal pay a myth and a minefield,16881,News,53,13,20,3,16,10,7,18
13,Exporting Jihad_2016-03-21_News.txt,2845,10493,594,Exporting Jihad,16881,News,-123,121,163,63,90,127,109,110
14,Get $100 off an Apple Watch  and more of todays best deals from around the web_2016-03-21_Business.txt,344,691,51,Get $100 off an Apple Watch  and more of todays best deals from around the web,16881,Business,46,3,18,2,9,4,4,13
15,How Can This Possibly Be True _2016-02-18_Business.txt,1656,6638,461,How Can This Possibly Be True ,16849,Business,73,36,86,21,52,37,44,61
16,How Giphy Became the Internets Go-To Gif Brand_2016-03-21_Business.txt,1125,3374,242,How Giphy Became the Internets Go-To Gif Brand,16881,Business,70,17,51,11,28,17,18,44
17,How to find a flying squirrel  Citizen scientists are enlisted to help scientists._2016-03-21_News.txt,612,1331,58,How to find a flying squirrel  Citizen scientists are enlisted to help scientists.,16881,News,46,7,39,4,17,12,5,26
18,How to Fix a Broken High-Schooler in Four Easy Steps_2016-02-04_Business.txt,1083,4352,223,How to Fix a Broken High-Schooler in Four Easy Steps,16835,Business,56,17,55,11,38,26,26,44
19,How Unity is pushing VR and better 3D graphics with its game engine_2016-03-21_Business.txt,623,1896,137,How Unity is pushing VR and better 3D graphics with its game engine,16881,Business,58,8,30,4,16,6,3,25
20,Imaginary Spaces_2016-03-21_News.txt,2025,6467,365,Imaginary Spaces,16881,News,55,51,89,25,60,67,61,62
21,Indie Puzzle Game Hue Is Unfinished but Still Highly Addictive_2016-03-21_News.txt,611,1658,90,Indie Puzzle Game Hue Is Unfinished but Still Highly Addictive,16881,News,41,11,28,3,20,15,10,23
22,Is Americas Education Problem Really Just a Teacher Problem _2016-01-28_Business.txt,1386,6016,333,Is Americas Education Problem Really Just a Teacher Problem ,16828,Business,104,30,98,18,51,32,35,57
23,Israel is occupation-addicted  Israeli journalist Gideon Levy blasts U.S. support for apartheid   rise of fascism_2016-03-21_News.txt,528,1148,63,Israel is occupation-addicted  Israeli journalist Gideon Levy blasts U.S. support for apartheid   rise of fascism,16881,News,-55,17,29,8,11,25,18,16
