Text,Types,Tokens,Sentences,Article,Date,Category,Sentiment,anger,trust,disgust,joy,fear,sadness,anticipation
10 Action Verbs That Define a Great Leader Hint  They All Start With the Letter R_2016-03-21_Business.txt,286,590,54,10 Action Verbs That Define a Great Leader Hint  They All Start With the Letter R,16881,Business,32,4,18,2,11,6,6,8
10 Healthy International Breakfasts_2016-03-21_News.txt,498,955,67,10 Healthy International Breakfasts,16881,News,34,5,16,9,14,9,10,15
10 Monday AM Reads_2016-03-21_Business.txt,60,67,6,10 Monday AM Reads,16881,Business,-1,1,0,1,2,0,1,1
10 things in tech you need to know today AAPL TWTR AMZN NFLX YHOO MSFT FB_2016-03-21_Business.txt,204,281,31,10 things in tech you need to know today AAPL TWTR AMZN NFLX YHOO MSFT FB,16881,Business,-2,2,10,2,6,5,4,10
10 Ways to Celebrate Stress Awareness Day_2016-03-21_News.txt,422,919,65,10 Ways to Celebrate Stress Awareness Day,16881,News,19,7,23,5,14,13,11,18
10 Ways to Sleep Smarter_2016-03-21_Business.txt,233,427,33,10 Ways to Sleep Smarter,16881,Business,20,2,14,2,8,3,2,7
100 days since the Paris Climate Agreement  5 Reasons that Cities Hold the Key to Delivering Success_2016-03-21_News.txt,565,1312,51,100 days since the Paris Climate Agreement  5 Reasons that Cities Hold the Key to Delivering Success,16881,News,65,4,37,1,17,8,3,24
100 Great Quotes That Will Help You Handle Criticism_2016-03-21_Business.txt,901,2136,240,100 Great Quotes That Will Help You Handle Criticism,16881,Business,-4,42,48,27,29,42,40,28
12 Cost-Effective Ways to Increase Traffic to Your Company Website_2016-03-21_News.txt,415,866,65,12 Cost-Effective Ways to Increase Traffic to Your Company Website,16881,News,42,2,24,1,13,3,3,21
12 essentials every guy needs for spring_2016-03-21_Business.txt,447,880,98,12 essentials every guy needs for spring,16881,Business,25,2,20,1,5,5,7,12
12 ways Twitter changed our lives_2016-03-21_News.txt,776,1742,115,12 ways Twitter changed our lives,16881,News,-4,13,26,12,18,14,18,22
14 die when bus carrying international students crashes_2016-03-20_News.txt,87,162,11,14 die when bus carrying international students crashes,16880,News,-16,0,2,0,0,4,4,3
14 simple ways to stick to a diet_2016-03-21_Business.txt,464,1152,90,14 simple ways to stick to a diet,16881,Business,29,6,23,8,17,10,13,19
19 Yemeni Jews Arrive in Israel Ending Secret Rescue Operation_2016-03-21_News.txt,311,649,24,19 Yemeni Jews Arrive in Israel Ending Secret Rescue Operation,16881,News,-7,8,17,2,5,14,10,10
23 examples of amazing camouflage on military planes_2016-03-21_Business.txt,48,64,3,23 examples of amazing camouflage on military planes,16881,Business,6,0,4,0,2,1,0,2
3 Reasons Silence Is Actually Golden_2016-03-21_News.txt,37,40,2,3 Reasons Silence Is Actually Golden,16881,News,0,1,2,0,1,1,1,3
4 Digital Marketing Trends You Cant Afford to Ignore_2016-03-21_Business.txt,369,674,39,4 Digital Marketing Trends You Cant Afford to Ignore,16881,Business,50,2,15,2,13,2,2,19
4 Sane Responses When March Madness Grips Your Business_2016-03-21_Business.txt,317,632,45,4 Sane Responses When March Madness Grips Your Business,16881,Business,13,9,18,4,15,11,9,20
4 Tips to Help You Write With Clarity and Substance_2016-03-21_Business.txt,496,974,76,4 Tips to Help You Write With Clarity and Substance,16881,Business,43,9,26,4,11,7,10,14
4 US Senators meet King Salman ahead of Obama visit_2016-03-21_News.txt,111,158,12,4 US Senators meet King Salman ahead of Obama visit,16881,News,1,0,10,1,1,0,0,2
4 Very Different Types of Relationships That Must Be Healthy for You to Succeed_2016-03-21_Business.txt,295,752,54,4 Very Different Types of Relationships That Must Be Healthy for You to Succeed,16881,Business,19,6,18,2,13,11,8,17
5 Easy Steps to Turning Your $1 Million Ideas Into Reality_2016-03-21_Business.txt,414,991,65,5 Easy Steps to Turning Your $1 Million Ideas Into Reality,16881,Business,27,0,17,0,8,6,3,15
5 Reasons Mothers Make Amazing Managers_2016-03-21_Business.txt,435,936,62,5 Reasons Mothers Make Amazing Managers,16881,Business,38,6,30,6,21,9,11,25
5 simple etiquette habits that help the rich get ahead according to a man who spent 5 years studying millionaires_2016-03-21_Business.txt,67,89,8,5 simple etiquette habits that help the rich get ahead according to a man who spent 5 years studying millionaires,16881,Business,4,2,3,1,1,3,2,3
5 Ways to Avoid Entrepreneurial Burnout_2016-03-21_Business.txt,382,783,59,5 Ways to Avoid Entrepreneurial Burnout,16881,Business,28,4,25,3,17,8,5,24
