,Index,Text,Types,Tokens,Sentences,date,category,link,title,Sentiment,anger,trust,disgust,joy,fear,sadness,anticipation,countIndex
text17,17,text17,1460,4774,140,2/10/2016,Politics,http://www.worldaffairsjournal.org/article/merah-%E2%80%98untold-story%E2%80%99-french-jihadist-icon,Merah: The Untold Story of a French Jihadist Icon,-82,50,74,24,30,67,40,49,1
text19,19,text19,1305,4264,145,3/21/2016,Politics,http://www.worldaffairsjournal.org/article/democracy-retreat,Is Democracy in Retreat?,-66,44,75,30,36,68,41,52,1
text13,13,text13,1387,3939,89,2/11/2016,Politics,http://www.worldaffairsjournal.org/article/turning-west-south-africa%E2%80%99s-ominous-pivot,Turning from the West: South Africas Ominous Pivot,-50,40,93,26,29,66,46,40,1
text23,23,text23,924,2367,63,5/2/2016,Politics,http://www.worldaffairsjournal.org/article/islam-and-democracy-after-arab-spring,Islam and Democracy After the Arab Spring,-50,32,54,14,19,49,27,34,2
text39,39,text39,436,991,27,5/2/2016,Politics,http://thinkprogress.org/politics/2016/05/02/3774456/donald-trump-hillary-clinton-off-the-reservation-native-americans/,Donald Trump Demonstrates Newfound Sensitivity To Derogatory Language About Native Americans,-41,13,14,9,4,15,10,7,1
text42,42,text42,326,706,17,5/2/2016,Politics,http://thinkprogress.org/health/2016/05/02/3774575/developmentally-disabled-abuse-bronx/,Families Sue Sadistic Facility For Allegedly Abusing Developmentally Disabled Residents,-29,12,19,8,8,14,13,8,1
text61,61,text61,534,1295,21,5/2/2016,Politics,http://feeds.foxnews.com/~r/foxnews/politics/~3/5C9K7OEKxnQ/california-lt-gov-newsom-lawmakers-on-collision-course-over-gun-control.html,"California Lt. Gov. Newsom, lawmakers on collision course over gun control",-27,21,39,8,8,25,11,14,1
text18,18,text18,537,1231,30,3/3/2016,Politics,http://www.worldaffairsjournal.org/article/continuing-battle-human-rights-russia,The Continuing Battle for Human Rights in Russia,-23,25,34,19,10,28,22,13,1
text38,38,text38,301,610,9,5/2/2016,Politics,http://thinkprogress.org/economy/2016/05/02/3774586/muslim-workers-fired-prayer/,This Company Fired Muslims Who Wanted To Pray On The Job. Now The Workers Are Fighting Back.,-22,4,15,2,2,3,5,7,1
text72,72,text72,206,452,8,5/2/2016,Politics,http://feeds.reuters.com/~r/Reuters/PoliticsNews/~3/b_WygZ34GK8/us-crime-hastert-idUSKCN0XT23W,Wrestling body revokes ex-House Speaker Hastert's awards,-21,9,16,4,6,11,6,7,1
text16,16,text16,797,2113,51,2/10/2016,Politics,http://www.worldaffairsjournal.org/article/ukraine-example-nuclear-disarmament-doesn%E2%80%99t-pay,The Ukraine Example: Nuclear Disarmament Doesnt Pay,-20,26,53,16,18,34,26,31,1
text8,8,text8,585,1310,31,2/24/2016,Politics,http://www.worldaffairsjournal.org/article/russias-social-media-vs-kremlins-domestic-information-war,Russia's Social Media vs. the Kremlin's Domestic Information War,-19,14,25,9,12,18,8,16,1
text66,66,text66,646,1717,24,5/2/2016,Politics,http://www.cnn.com/2016/05/02/politics/obama-terror-doctrine-bin-laden-raid/index.html?eref=rss_politics,Obama on the future of terrorism after bin Laden raid,-16,22,29,9,11,34,19,19,1
text56,56,text56,308,726,17,5/2/2016,Politics,http://www.nytimes.com/politics/first-draft/2016/05/02/hillary-clinton-hears-wrath-of-coal-supporters-in-west-virginia/?partner=rss&emc=rss,First Draft: Hillary Clinton Hears Wrath of Coal Supporters in West Virginia,-12,9,13,5,5,6,7,7,1
text57,57,text57,334,743,12,5/2/2016,Politics,http://www.nytimes.com/2016/05/03/us/virginia-felon-voting-rights-republicans-court-challenge.html?partner=rss&emc=rss,Virginia Republicans Weigh Court Challenge to Voting Rights for Felons,-11,14,31,3,8,14,6,16,1
text86,86,text86,210,415,9,5/2/2016,Politics,http://hosted.ap.org/dynamic/stories/U/US_UNITED_STATES_RUSSIA?SITE=FLMYR&SECTION=HOME&TEMPLATE=DEFAULT,"Navy boss: Russian jets should stop buzzing US planes, ship",-11,5,5,0,0,10,2,3,2
text62,62,text62,316,615,13,5/2/2016,Politics,http://feeds.foxnews.com/~r/foxnews/politics/~3/ibI1Pa_uMG4/virginia-gop-lawmakers-vow-to-sue-over-felon-voting-rights-being-restored.html,Virginia GOP lawmakers vow to sue over felon voting rights being restored,-10,11,23,6,3,10,8,12,1
text33,33,text33,352,731,12,5/2/2016,Politics,http://thinkprogress.org/health/2016/05/02/3774425/puerto-rico-zika-struggle/,"Drowning In Debt, Puerto Rico Is Struggling To Battle Zika",-9,12,23,7,9,18,12,17,1
text41,41,text41,446,1019,20,5/2/2016,Politics,http://thinkprogress.org/climate/2016/05/02/3774418/ttip-greenpeace-leaks/,"Leaked Documents On U.S.-E.U. Trade Deal Paint Worrisome Environmental Picture, Greenpeace Says",-9,8,34,4,8,13,7,10,2
