,Index,Text,Types,Tokens,Sentences,date,category,link,title,Sentiment,anger,trust,disgust,joy,fear,sadness,anticipation,countIndex
text85,85,text85,1188,3485,112,2/25/2016,news,http://america.aljazeera.com/articles/2016/2/25/new-weapons-for-panamanian-tribes-in-old-fight-to-save-forests.html,New weapons for Panama tribes in old fight to save forests,-47,33,67,25,26,44,28,28,1
text48,48,text48,627,1513,42,5/3/2016,news,http://www.slate.com/articles/arts/books/2016/05/on_being_raped_by_raymond_m_douglas_reviewed.html,On Being Raped,-42,21,35,18,10,29,21,20,1
text12,12,text12,460,1197,31,5/3/2016,news,http://www.cnn.com/2016/05/03/politics/donald-trump-rafael-cruz-indiana/index.html?eref=rss_topstories,Cruz makes his case as Indiana votes,-41,25,17,14,5,20,17,11,1
text43,43,text43,729,1679,60,5/3/2016,news,http://feedproxy.google.com/~r/time/topstories/~3/Ts8ZUwy9lXc/,The Infamous Lynching Site That Still Stands in Mississippi,-40,29,27,21,12,38,28,21,1
text59,59,text59,526,1165,29,5/2/2016,news,http://www.nytimes.com/2016/05/03/us/politics/now-dennis-hastert-seems-an-architect-of-dysfunction-as-speaker.html?partner=rss&emc=rss,"On Washington: Now, Dennis Hastert Seems an Architect of Dysfunction as Speaker",-40,18,40,12,13,21,11,17,2
text55,55,text55,809,2730,141,5/3/2016,news,http://www.slate.com/articles/news_and_politics/politics/2016/05/trump_s_moronic_unpredictability_doctrine.html,How Trumps Unpredictability Dodge Became the Dumbest Doctrine in Politics,-32,29,34,13,8,36,17,21,1
text83,83,text83,407,970,41,2/25/2016,news,http://america.aljazeera.com/articles/2016/2/25/in-rwanda-female-ex-combatants-face-reintegration-challenege.html,"In Rwanda, female ex-combatants face reintegration challenge",-31,11,17,0,8,19,9,9,1
text60,60,text60,3918,21023,1554,4/27/2016,news,http://www.nytimes.com/interactive/2016/05/01/nyregion/living-with-alzheimers.html?partner=rss&emc=rss,FRAYING<br/> AT THE EDGES,-30,121,205,88,136,151,139,157,1
text73,73,text73,332,817,17,5/3/2016,news,http://www.nytimes.com/2016/05/04/world/middleeast/us-service-member-killed-iraq-isis.html?partner=rss&emc=rss,Navy SEAL Is Killed in Northern Iraq in Fight With ISIS,-30,14,14,4,3,20,7,8,2
text24,24,text24,399,909,20,5/3/2016,news,http://www.cnn.com/2016/05/02/us/former-nfl-player-rape-charge/index.html?eref=rss_topstories,Ex-NFLer charged: Disabled woman's rape,-29,21,24,7,6,20,13,11,1
text87,87,text87,503,1206,55,2/25/2016,news,http://america.aljazeera.com/articles/2016/2/25/prison-pennsylvania-toxic-dump.html,Poisonous lands: Pennsylvania prison built next to toxic dump,-29,15,20,19,2,25,23,10,2
text21,21,text21,569,1554,31,5/3/2016,news,http://www.cnn.com/2016/05/03/us/detroit-schools-teacher-sickout/index.html?eref=rss_topstories,Most Detroit schools closed,-23,17,32,11,17,23,25,25,1
text33,33,text33,96,137,2,5/3/2016,news,http://feedproxy.google.com/~r/time/topstories/~3/8Kw5KBXkHD0/,Second Refugee at Australian Detention Center Sets Herself on Fire,-21,2,5,2,0,7,6,2,1
text39,39,text39,714,1748,27,5/3/2016,news,http://feedproxy.google.com/~r/time/topstories/~3/hkDKrY_9yOo/,When 300 Taliban Attacked 50 Isolated U.S. Soldiers: The Alamo Position,-21,20,32,7,14,29,18,18,2
text97,97,text97,222,476,8,2/24/2016,news,http://america.aljazeera.com/articles/2016/2/24/johnson-and-johnson-to-pay-72m-for-cancer-death-linked-to-talcum-powder.html,Johnson & Jonson to pay $72M for cancer death linked to talcum powder,-21,9,7,5,4,12,9,7,3
text81,81,text81,524,1320,34,2/25/2016,news,http://america.aljazeera.com/articles/2016/2/25/the-cancer-cluster-of-piketon-ohio.html,"The cancer cluster of Piketon, Ohio",-19,14,29,8,12,23,17,16,1
text99,99,text99,710,1933,67,2/24/2016,news,http://america.aljazeera.com/articles/2016/2/24/inaccurate-sentences-in-prison-for-the-wrong-time.html,Inaccurate sentencing condemns prisoners to serve longer than is lawful,-19,14,41,7,14,22,16,28,2
text16,16,text16,585,1488,22,5/3/2016,news,http://www.cnn.com/2016/05/03/politics/us-service-member-killed-iraq-mosul/index.html?eref=rss_topstories,ISIS attack kills Navy SEAL,-18,25,33,8,12,28,12,20,1
text65,65,text65,368,722,22,5/3/2016,news,http://www.nytimes.com/2016/05/03/us/resettling-the-first-american-climate-refugees.html?partner=rss&emc=rss,Carbon's Casualties: Resettling the First American Climate Refugees,-17,7,13,8,5,12,10,6,1
text82,82,text82,422,900,35,2/25/2016,news,http://america.aljazeera.com/articles/2016/2/25/rwanda-plastic-bag-ban.html,Smugglers work on the dark side of Rwandas plastic bag ban,-15,8,18,7,14,19,8,14,1
text93,93,text93,251,417,12,2/24/2016,news,http://america.aljazeera.com/articles/2016/2/24/ammon-bundy-others-plead-not-guilty-in-oregon-refuge-case.html,"Ammon Bundy, others plead not guilty in Oregon refuge case",-15,9,7,2,3,16,7,9,2
text22,22,text22,639,1629,29,5/3/2016,news,http://www.cnn.com/2016/05/03/us/brooklyn-exonerations/index.html?eref=rss_topstories,370 years time served -- wrongfully,-11,22,33,14,6,25,16,16,1
text29,29,text29,136,221,2,5/3/2016,news,http://www.cnn.com/2016/03/23/us/uss-conestoga-shipwreck-found-95-years-later/index.html?eref=rss_topstories,USS Conestoga found after 95 years,-9,2,7,1,1,3,5,4,1
text40,40,text40,114,176,2,5/3/2016,news,http://feedproxy.google.com/~r/time/topstories/~3/-D0cdBQ9jxM/,Frenchman Sues Bosses Because He Was Bored at Work,-7,3,1,3,0,6,3,2,1
text68,68,text68,532,1274,19,5/3/2016,news,http://www.nytimes.com/2016/05/04/nyregion/surge-in-ridership-pushes-new-york-subway-to-limit.html?partner=rss&emc=rss,Surge in Ridership Pushes New York Subway to Limit,-7,8,19,6,9,12,12,23,2
text1,1,text1,58,78,2,5/3/2016,news,http://www.wsj.com/articles/european-stocks-edge-lower-on-weak-chinese-manufacturing-data-1462262134?mod=rss_whats_news_us,Stocks Sink on Global Growth Fears,-5,2,1,1,0,1,2,1,1
text23,23,text23,154,359,8,5/3/2016,news,http://www.cnn.com/2016/05/03/politics/old-navy-interracial-ad-jack-mccain/index.html?eref=rss_topstories,McCain's son takes on ad's critics,-5,2,7,3,5,2,2,5,2
text45,45,text45,400,932,20,5/3/2016,news,http://feedproxy.google.com/~r/time/topstories/~3/TszUdAgq0zE/,Ted Cruz on the Brink of Elimination as Donald Trump Looks for Indiana Primary Win,-5,9,19,6,9,9,8,13,3
text61,61,text61,321,692,11,5/2/2016,news,http://www.nytimes.com/2016/05/03/world/americas/cruise-ship-from-miami-docks-in-havana-ending-decades-old-freeze.html?partner=rss&emc=rss,"Cruise Ship From Miami Docks in Havana, Ending Decades-Old Freeze",-5,11,14,4,5,11,9,16,4
text52,52,text52,534,1141,39,5/3/2016,news,http://www.slate.com/articles/arts/culturebox/2016/05/in_praise_of_mourning_famous_artists_publicly_on_twitter_and_facebook.html,In Praise of Social Media Mourning,-4,10,27,6,16,9,16,15,1
text95,95,text95,185,358,5,2/24/2016,news,http://america.aljazeera.com/articles/2016/2/24/norovirus-sickens-hundreds-at-university-in-ohio.html,Norovirus sickens hundreds at university in Ohio,-4,3,9,4,1,6,4,3,2
text3,3,text3,152,278,5,5/3/2016,news,http://feeds.foxnews.com/~r/foxnews/scitech/~3/jkgc8fVkR8k/experts-unearth-new-mythical-beast-nazca-lines.html,Experts unearth new 'mythical beast' Nazca lines,-3,0,7,1,1,3,1,3,1
text5,5,text5,186,339,7,5/3/2016,news,http://feeds.foxnews.com/~r/foxnews/scitech/~3/fiCyaTTlA_M/why-astronomers-named-this-comet-after-cat.html,Why astronomers named this comet after a cat,-3,1,8,1,2,1,1,5,2
text63,63,text63,485,1171,15,5/3/2016,news,http://www.nytimes.com/2016/05/04/us/as-states-expand-gun-rights-police-join-opposition.html?partner=rss&emc=rss,"As States Expand Gun Rights, the Police Object",-3,18,32,4,9,23,11,19,3
text92,92,text92,101,197,4,2/25/2016,news,http://america.aljazeera.com/articles/2016/2/24/tourist-pot-complaints-up-at-colorado-emergency-rooms.html,Tourist pot complaints up at Colorado emergency rooms,-3,0,4,0,2,3,2,2,4
text28,28,text28,122,205,1,5/3/2016,news,http://www.cnn.com/2016/05/02/living/endeavour-wreckage-found/index.html?eref=rss_topstories,Famed ship's wreckage found,-2,0,6,2,2,2,0,6,1
