"","Text","Types","Tokens","Sentences","Article","Date","Category","Trump","Clinton","Cruz","Sanders","Kasich","Sentiment"
" Boaty McBoatface  wins UK poll for name of $280M research vessel - CBS News_2016-04-18_news.txt"," Boaty McBoatface  wins UK poll for name of $280M research vessel - CBS News_2016-04-18_news.txt",177,283,16," Boaty McBoatface  wins UK poll for name of $280M research vessel - CBS News",2016-04-18,"news",0,0,0,0,0,22
" Scandal  star Kerry Washington shows a photo of a lace glove while hinting at her Met Gala look _2016-5-02_News.txt"," Scandal  star Kerry Washington shows a photo of a lace glove while hinting at her Met Gala look _2016-5-02_News.txt",49,67,4," Scandal  star Kerry Washington shows a photo of a lace glove while hinting at her Met Gala look ",2016-05-02,"News",0,0,0,0,0,6
"'60 MINUTES' hacks congressman's phone for security report..._2016-04-18_news.txt","'60 MINUTES' hacks congressman's phone for security report..._2016-04-18_news.txt",200,349,24,"'60 MINUTES' hacks congressman's phone for security report...",2016-04-18,"news",0,0,0,0,0,-3
"'Air Rage' Linked to First-Class Cabin, Study Finds _2016-5-02_News.txt","'Air Rage' Linked to First-Class Cabin, Study Finds _2016-5-02_News.txt",229,465,19,"'Air Rage' Linked to First-Class Cabin, Study Finds ",2016-05-02,"News",0,0,0,0,0,-4
"'America is a better country without you'  Ted Cruz's very bad day _2016-5-02_News.txt","'America is a better country without you'  Ted Cruz's very bad day _2016-5-02_News.txt",468,900,59,"'America is a better country without you'  Ted Cruz's very bad day ",2016-05-02,"News",1,1,1,1,1,-2
"'Biggest Loser' Lessons  Why The Body Makes It Hard To Keep Pounds Off _2016-5-02_News.txt","'Biggest Loser' Lessons  Why The Body Makes It Hard To Keep Pounds Off _2016-5-02_News.txt",292,715,47,"'Biggest Loser' Lessons  Why The Body Makes It Hard To Keep Pounds Off ",2016-05-02,"News",0,0,0,0,0,4
"'Boaty McBoatface' wins poll_2016-04-18_news.txt","'Boaty McBoatface' wins poll_2016-04-18_news.txt",79,113,6,"'Boaty McBoatface' wins poll",2016-04-18,"news",0,0,0,0,0,11
"'Burn the Witch'  Radiohead's Gorgeous and Scary Comeback Song _2016-5-03_News.txt","'Burn the Witch'  Radiohead's Gorgeous and Scary Comeback Song _2016-5-03_News.txt",246,376,17,"'Burn the Witch'  Radiohead's Gorgeous and Scary Comeback Song ",2016-05-03,"News",0,0,0,0,0,5
"'Burning Man for the 1 '  the desert party for the tech elite, with Eric Schmidt in a top hat _2016-5-02_News.txt","'Burning Man for the 1 '  the desert party for the tech elite, with Eric Schmidt in a top hat _2016-5-02_News.txt",639,1351,94,"'Burning Man for the 1 '  the desert party for the tech elite, with Eric Schmidt in a top hat ",2016-05-02,"News",0,0,0,0,0,25
"'Count me out'  Ryan rules out 2016 White House bid - Fox News_2016-04-12_News.txt","'Count me out'  Ryan rules out 2016 White House bid - Fox News_2016-04-12_News.txt",286,559,27,"'Count me out'  Ryan rules out 2016 White House bid - Fox News",2016-04-12,"News",1,0,1,0,1,30
"'Deferred Action' for Immigrants Goes to Court_2016-04-18_news.txt","'Deferred Action' for Immigrants Goes to Court_2016-04-18_news.txt",387,775,39,"'Deferred Action' for Immigrants Goes to Court",2016-04-18,"news",0,0,0,0,0,4
"'Doctor Strange' and 'Ghost in the Shell' reveal another glaring Hollywood problem  White actors playing characters of Asian origin_2016-04-18_news.txt","'Doctor Strange' and 'Ghost in the Shell' reveal another glaring Hollywood problem  White actors playing characters of Asian origin_2016-04-18_news.txt",479,952,44,"'Doctor Strange' and 'Ghost in the Shell' reveal another glaring Hollywood problem  White actors playing characters of Asian origin",2016-04-18,"news",0,0,0,0,0,4
"'Even though I know my life is at risk, I still try to save the forest_2016-04-18_news.txt","'Even though I know my life is at risk, I still try to save the forest_2016-04-18_news.txt",511,1114,52,"'Even though I know my life is at risk, I still try to save the forest",2016-04-18,"news",0,0,0,0,0,-39
"'Exam factory' schools urged to shift emphasis to online learning_2016-04-17_news.txt","'Exam factory' schools urged to shift emphasis to online learning_2016-04-17_news.txt",113,174,6,"'Exam factory' schools urged to shift emphasis to online learning",2016-04-17,"news",0,0,0,0,0,6
"'Further tremors expected' in Japan_2016-04-18_news.txt","'Further tremors expected' in Japan_2016-04-18_news.txt",265,439,28,"'Further tremors expected' in Japan",2016-04-18,"news",0,0,0,0,0,-16
"'Game of Thrones' Is the Bloody, Sword-Filled Sexfest Our Generation Deserves _2016-5-02_News.txt","'Game of Thrones' Is the Bloody, Sword-Filled Sexfest Our Generation Deserves _2016-5-02_News.txt",553,1123,64,"'Game of Thrones' Is the Bloody, Sword-Filled Sexfest Our Generation Deserves ",2016-05-02,"News",0,0,0,0,0,8
"'Hamilton' breaks Tony record with 16 nominations - Los Angeles Times _2016-5-03_News.txt","'Hamilton' breaks Tony record with 16 nominations - Los Angeles Times _2016-5-03_News.txt",501,1037,49,"'Hamilton' breaks Tony record with 16 nominations - Los Angeles Times ",2016-05-03,"News",0,0,0,0,0,44
"'Hamilton' breaks Tonys record with 16 nominations _2016-5-03_News.txt","'Hamilton' breaks Tonys record with 16 nominations _2016-5-03_News.txt",501,1037,49,"'Hamilton' breaks Tonys record with 16 nominations ",2016-05-03,"News",0,0,0,0,0,44
"'High-Rise' Makes Class Warfare Sexy_2016-04-13_News.txt","'High-Rise' Makes Class Warfare Sexy_2016-04-13_News.txt",488,856,39,"'High-Rise' Makes Class Warfare Sexy",2016-04-13,"News",0,0,0,0,0,-11
"'Huge' sawfish caught, released at Fla. pier _2016-5-02_News.txt","'Huge' sawfish caught, released at Fla. pier _2016-5-02_News.txt",143,258,20,"'Huge' sawfish caught, released at Fla. pier ",2016-05-02,"News",0,0,0,0,0,12
"'Innovation Center' tries to reinvent Medicare_2016-04-18_news.txt","'Innovation Center' tries to reinvent Medicare_2016-04-18_news.txt",400,778,41,"'Innovation Center' tries to reinvent Medicare",2016-04-18,"news",0,0,0,0,0,12
"'Innovation Center' tries to reinvent Medicare_2016-04-18_Politics.txt","'Innovation Center' tries to reinvent Medicare_2016-04-18_Politics.txt",478,937,53,"'Innovation Center' tries to reinvent Medicare",2016-04-18,"Politics",0,0,0,0,0,-2
"'Jungle Book' roars with $103.6 million debut_2016-04-17_news.txt","'Jungle Book' roars with $103.6 million debut_2016-04-17_news.txt",368,659,47,"'Jungle Book' roars with $103.6 million debut",2016-04-17,"news",0,0,0,0,0,-4
"'MCDONALDS of future' where kiosks take your order..._2016-04-18_news.txt","'MCDONALDS of future' where kiosks take your order..._2016-04-18_news.txt",258,586,30,"'MCDONALDS of future' where kiosks take your order...",2016-04-18,"news",0,0,0,0,0,14
"'Peace Has No Religion'  Muslim Refugees Find Safe Haven With Vatican - NBCNews.com_2016-04-17_news.txt","'Peace Has No Religion'  Muslim Refugees Find Safe Haven With Vatican - NBCNews.com_2016-04-17_news.txt",0,0,0,"'Peace Has No Religion'  Muslim Refugees Find Safe Haven With Vatican - NBCNews.com",2016-04-17,"news",0,0,0,0,0,0
"'Politicians have lost our trust'  readers on the Dutch referendum_2016-04-13_News.txt","'Politicians have lost our trust'  readers on the Dutch referendum_2016-04-13_News.txt",209,409,19,"'Politicians have lost our trust'  readers on the Dutch referendum",2016-04-13,"News",0,0,0,0,0,17
"'Riddick' director to blast off with 'Ice Moon Rising,' a space film with a China element_2016-04-18_news.txt","'Riddick' director to blast off with 'Ice Moon Rising,' a space film with a China element_2016-04-18_news.txt",204,346,17,"'Riddick' director to blast off with 'Ice Moon Rising,' a space film with a China element",2016-04-18,"news",0,0,0,0,0,1
"'Russian Forrest Gump' walks from St Petersburg to Vladivostok _2016-5-03_News.txt","'Russian Forrest Gump' walks from St Petersburg to Vladivostok _2016-5-03_News.txt",300,525,30,"'Russian Forrest Gump' walks from St Petersburg to Vladivostok ",2016-05-03,"News",0,0,0,0,0,-4
"'So what if Putin is corrupt '  Russia remains unmoved by offshore revelations_2016-04-13_News.txt","'So what if Putin is corrupt '  Russia remains unmoved by offshore revelations_2016-04-13_News.txt",561,1163,54,"'So what if Putin is corrupt '  Russia remains unmoved by offshore revelations",2016-04-13,"News",0,0,0,0,0,-36
"'Sometimes the South Really Is Something Out of a Flannery OConnor Story'_2016-04-17_news.txt","'Sometimes the South Really Is Something Out of a Flannery OConnor Story'_2016-04-17_news.txt",258,495,32,"'Sometimes the South Really Is Something Out of a Flannery OConnor Story'",2016-04-17,"news",0,0,0,0,0,-8
"'The needs of many outweigh the greed of few'  readers' anti-austerity march photos_2016-04-18_news.txt","'The needs of many outweigh the greed of few'  readers' anti-austerity march photos_2016-04-18_news.txt",31,36,3,"'The needs of many outweigh the greed of few'  readers' anti-austerity march photos",2016-04-18,"news",0,0,0,0,0,-2
"'The Voice' recap  Michelle Obama welcomes the Top 10 to the stage _2016-5-03_News.txt","'The Voice' recap  Michelle Obama welcomes the Top 10 to the stage _2016-5-03_News.txt",427,896,47,"'The Voice' recap  Michelle Obama welcomes the Top 10 to the stage ",2016-05-03,"News",0,0,0,0,0,57
"'This is getting ridiculous'  Hulk Hogan sues Gawker again, over racist remarks _2016-5-03_News.txt","'This is getting ridiculous'  Hulk Hogan sues Gawker again, over racist remarks _2016-5-03_News.txt",264,485,25,"'This is getting ridiculous'  Hulk Hogan sues Gawker again, over racist remarks ",2016-05-03,"News",0,0,0,0,0,-14
"'Touch Tours' Help Blind Experience Philadelphia's Historic Food Scene _2016-5-02_News.txt","'Touch Tours' Help Blind Experience Philadelphia's Historic Food Scene _2016-5-02_News.txt",339,643,34,"'Touch Tours' Help Blind Experience Philadelphia's Historic Food Scene ",2016-05-02,"News",0,0,0,0,0,25
"'We must do all we can to value and protect our creative output'_2016-04-18_news.txt","'We must do all we can to value and protect our creative output'_2016-04-18_news.txt",0,0,0,"'We must do all we can to value and protect our creative output'",2016-04-18,"news",0,0,0,0,0,0
"'We're teetering on the edge'  Atlantic City barely avoids historic debt default _2016-5-02_News.txt","'We're teetering on the edge'  Atlantic City barely avoids historic debt default _2016-5-02_News.txt",267,478,25,"'We're teetering on the edge'  Atlantic City barely avoids historic debt default ",2016-05-02,"News",0,0,0,0,0,-11
"'What were they thinking '  your favourite demolished buildings _2016-5-03_News.txt","'What were they thinking '  your favourite demolished buildings _2016-5-03_News.txt",214,343,15,"'What were they thinking '  your favourite demolished buildings ",2016-05-03,"News",0,0,0,0,0,0
"'You Are Special'  Judge's Emotional Speech To Troubled Teens Brings Courtroom To Tears_2016-04-13_News.txt","'You Are Special'  Judge's Emotional Speech To Troubled Teens Brings Courtroom To Tears_2016-04-13_News.txt",0,0,0,"'You Are Special'  Judge's Emotional Speech To Troubled Teens Brings Courtroom To Tears",2016-04-13,"News",0,0,0,0,0,0
"#3000chairs  the empty chairs of Syrian child refugees  in pictures _2016-5-03_News.txt","#3000chairs  the empty chairs of Syrian child refugees  in pictures _2016-5-03_News.txt",79,102,7,"#3000chairs  the empty chairs of Syrian child refugees  in pictures ",2016-05-03,"News",0,0,0,0,0,-3
"$250 million, 300 scientists and 40 labs  Sean Parker's revolutionary project to 'solve' cancer - Washington Post_2016-04-13_News.txt","$250 million, 300 scientists and 40 labs  Sean Parker's revolutionary project to 'solve' cancer - Washington Post_2016-04-13_News.txt",754,1612,76,"$250 million, 300 scientists and 40 labs  Sean Parker's revolutionary project to 'solve' cancer - Washington Post",2016-04-13,"News",0,0,0,0,0,28
"1 killed, 8 injured as minivan, SUV crash in Los Angeles_2016-04-17_news.txt","1 killed, 8 injured as minivan, SUV crash in Los Angeles_2016-04-17_news.txt",154,294,15,"1 killed, 8 injured as minivan, SUV crash in Los Angeles",2016-04-17,"news",0,0,0,0,0,-27
"1 killed, 8 injured as SUV, van collide in Los Angeles_2016-04-18_news.txt","1 killed, 8 injured as SUV, van collide in Los Angeles_2016-04-18_news.txt",160,314,17,"1 killed, 8 injured as SUV, van collide in Los Angeles",2016-04-18,"news",0,0,0,0,0,-30
"10 Baby Steps to Healthy Eating   Robyn Downs_2015-12-15_Cooking.txt","10 Baby Steps to Healthy Eating   Robyn Downs_2015-12-15_Cooking.txt",596,1562,113,"10 Baby Steps to Healthy Eating   Robyn Downs",2015-12-15,"Cooking",0,0,0,0,0,62
